Id,Name,Position,Salary,Email
101,Yousef,software engineer,25000,yousef@gmail.com
102,Mohamed,graphic designer,11000,mohamed@gmail.com
103,Ahmed,media buyer,20000,ahmed@gmail.com
104,Khaled,videographer,17000,khaled@gmail.com
105,Mostafa,AI engineer,30000,mostafa@gmail.com
106,Ayman,content creator,14000,ayman@gmail.com
107,Moatasem,content creator,13000,moatasem@gmail.com
108,Sara,video editor,17000,sara@gmail.com
109,Mariam,marketer,21000,mariam@gmail.com
110,Salma,photographer,14000,salma@gmail.com
